Mês de Data Referencia;Evento;Uf;Total
junho de 2019;Roubo de veículo;MG;707
junho de 2019;Roubo de veículo;MS;35
junho de 2019;Roubo de veículo;MT;98
junho de 2019;Roubo de veículo;PA;367
junho de 2019;Roubo de veículo;PB;278
junho de 2019;Roubo de veículo;PE;1094
junho de 2019;Roubo de veículo;PI;363
junho de 2019;Roubo de veículo;PR;484
junho de 2019;Roubo de veículo;RJ;3115
junho de 2019;Roubo de veículo;RN;436
junho de 2019;Roubo de veículo;RO;
junho de 2019;Roubo de veículo;RR;49
junho de 2019;Roubo de veículo;RS;865
junho de 2019;Roubo de veículo;SC;118
junho de 2019;Roubo de veículo;SE;127
junho de 2019;Roubo de veículo;SP;3944
junho de 2019;Roubo de veículo;TO;50
julho de 2019;Roubo de veículo;AC;194
julho de 2019;Roubo de veículo;AL;176
julho de 2019;Roubo de veículo;AM;217
julho de 2019;Roubo de veículo;AP;53
julho de 2019;Roubo de veículo;BA;1030
julho de 2019;Roubo de veículo;CE;401
julho de 2019;Roubo de veículo;DF;270
julho de 2019;Roubo de veículo;ES;340
julho de 2019;Roubo de veículo;GO;344
julho de 2019;Roubo de veículo;MA;307
janeiro de 2020;Roubo de veículo;AC;112
janeiro de 2020;Roubo de veículo;AL;215
janeiro de 2020;Roubo de veículo;AM;208
janeiro de 2020;Roubo de veículo;AP;100
janeiro de 2020;Roubo de veículo;BA;968
janeiro de 2020;Roubo de veículo;CE;539
janeiro de 2020;Roubo de veículo;DF;287
janeiro de 2020;Roubo de veículo;ES;370
janeiro de 2020;Roubo de veículo;GO;335
janeiro de 2020;Roubo de veículo;MA;229
janeiro de 2020;Roubo de veículo;MG;892
janeiro de 2020;Roubo de veículo;MS;45
janeiro de 2020;Roubo de veículo;MT;151
janeiro de 2020;Roubo de veículo;PA;320
janeiro de 2020;Roubo de veículo;PB;356
janeiro de 2020;Roubo de veículo;PE;1120
janeiro de 2020;Roubo de veículo;PI;388
janeiro de 2020;Roubo de veículo;PR;433
janeiro de 2020;Roubo de veículo;RJ;3246
janeiro de 2020;Roubo de veículo;RN;967
janeiro de 2020;Roubo de veículo;RO;
janeiro de 2020;Roubo de veículo;RR;35
janeiro de 2020;Roubo de veículo;RS;902
janeiro de 2020;Roubo de veículo;SC;147
janeiro de 2020;Roubo de veículo;SE;244
janeiro de 2020;Roubo de veículo;SP;3662
janeiro de 2020;Roubo de veículo;TO;39
fevereiro de 2020;Roubo de veículo;AC;108
fevereiro de 2020;Roubo de veículo;AL;194
fevereiro de 2020;Roubo de veículo;AM;138
fevereiro de 2020;Roubo de veículo;AP;100
fevereiro de 2020;Roubo de veículo;BA;1117
fevereiro de 2020;Roubo de veículo;CE;1183
fevereiro de 2020;Roubo de veículo;DF;237
fevereiro de 2020;Roubo de veículo;ES;376
fevereiro de 2020;Roubo de veículo;GO;290
fevereiro de 2020;Roubo de veículo;MA;195
fevereiro de 2020;Roubo de veículo;MG;824
fevereiro de 2020;Roubo de veículo;MS;38
fevereiro de 2020;Roubo de veículo;MT;167
fevereiro de 2020;Roubo de veículo;PA;229
fevereiro de 2020;Roubo de veículo;PB;312
fevereiro de 2020;Roubo de veículo;PE;891
fevereiro de 2020;Roubo de veículo;PI;460
fevereiro de 2020;Roubo de veículo;PR;504
fevereiro de 2020;Roubo de veículo;RJ;2925
